"Label","InDegree","OutDegree","Eigenvector","Hub","Authority"
"Seoul",0.108748339917772,0.126552755992619,0.311079025550655,0.202091321905898,0.0960280182670522
"Yeoju",0.0554053864290853,0.116437055010326,0.19211722643814,0.188737402964339,0.0537267598501618
"Pocheon",0.0984140256372033,0.169544763829605,0.313238956280906,0.172878460433871,0.0997581732513694
"Yangju",0.204843140884972,0.119487988794682,0.749380921340199,0.150332603896757,0.22541480561805
"Hwaseong",0.0744186946600845,0.25606661873816,0.212947819823747,1,0.0825897741888321
"Gimpo",0.191031875766527,0.0969885745285584,0.764279407308489,0.112408409304401,0.210714248475439
"Anseong",0.102861602753504,0.155899399014772,0.29527881020804,0.200103243100417,0.0988234197354295
"Icheon",0.156641404264136,0.0906155603800736,0.420502658312849,0.0938423922939186,0.139202323424231
"Paju",0.202022854854484,0.186209392242818,0.715502321000203,0.247234557995346,0.171495002969825
"Yongin",0.120770310188839,0.235018354689861,0.428833344855854,0.617263625324786,0.0954191591864511
"Hanam",0.101252025301611,0.086792475884617,0.274319315311178,0.12059871085007,0.100878886045198
"Uiwang",0.160692545949717,0.113033883829938,0.454848283875758,0.145766571798446,0.202137433773523
"Gunpo",0.190470500597732,0.126332395417859,0.502221040541149,0.284239616070372,0.23342293816904
"Siheung",0.152987656947364,0.16235328253688,0.441735097329024,0.293125162846607,0.165570410496755
"Osan",0.0823912354899495,0.200081812654688,0.246458240789233,0.319993901147057,0.124215261118484
"Namyangju",0.166196253700376,0.185169804365452,0.66885622459094,0.221400756248043,0.148211767160217
"Guri",0.152079617205861,0.175633452402765,0.484586389755086,0.303017787996956,0.113341314051006
"Gwacheon",0.139791991388063,0.0693640564407713,0.393986224823088,0.0642970421782424,0.168524403244196
"Goyang",0.148498081528581,0.146777421053176,0.535196026162399,0.149984967369576,0.164407012748113
"Ansan",0.134839668224745,0.149850928957124,0.346598707342422,0.240231301679336,0.207250041334232
"Dongducheon",0.0822337515353487,0.20326407699826,0.308031264449383,0.21636009717442,0.0868002740126916
"Pyeongtaek",0.171660165318819,0.0774607703325237,0.408344880029424,0.081030014328587,0.270169056757162
"Gwangmyeong",0.130148086875652,0.124373272892044,0.364942186290114,0.153227101469068,0.141557376843582
"Bucheon",0.0900157727956248,0.127884494236834,0.255531673416777,0.1538452592348,0.129422700738406
"Anyang",0.0788631120147575,0.183989996851797,0.276359758392565,0.240669257845532,0.0985630317389996
"Uijeongbu",0.199188695785865,0.168421008679318,0.5934423438918,0.152766220378073,0.193502509522727
"Seongnam",0.0696052870929466,0.128962258649714,0.229647635747655,0.136691844675443,0.0803460444755171
"Suwon",0.400678988800618,0.059947727022586,1,0.0479133864470227,1
"Gwangju",0.199607388700416,0.090986858920787,0.712735929589874,0.104254386082128,0.209548459567699
"Incheon",0.121524670656903,0.154382689918951,0.339452493089172,0.333180227204939,0.124942264539843
