Source,Target,Weight
20,7,0.0042273321
20,25,0.00277921718
20,24,0.00663842466
20,21,0.000181738327
20,6,0.00967232432
20,19,0.0318668749
20,13,0.027203258
20,17,0.00219724323
20,18,0.00860125072
20,29,1.31e-06
20,23,0.00358709496
20,11,0.0514970913
20,5,0.00204015206
20,8,0.000908501759
20,30,0.0186829909
20,16,0.00731532388
20,15,0.000250417378
20,9,0.000135024943
20,3,0.00926999222
20,22,0.00278544305
20,1,0.000160807655
20,14,0.0232157374
20,27,0.000410637109
20,28,0.00295609
20,26,0.00466141281
20,12,6.94e-06
20,4,0.0178050517
20,2,0.00405813145
20,10,2.88e-05
7,20,0.0326214814
7,25,0.00214533912
7,24,0.00865687877
7,21,0.0086930303
7,6,0.00106018416
7,19,0.00524928763
7,13,0.0243166861
7,17,0.000517906114
7,18,0.000128496134
7,29,0.00130570435
7,23,0.000274120025
7,11,6.56e-05
7,5,0.0037406095
7,8,0.039018236
7,30,0.000291991386
7,16,0.00517514664
7,15,9.73e-06
7,9,0.00296013978
7,3,0.00136987613
7,22,0.00795311867
7,1,0.000734731096
7,14,0.00545858674
7,27,0.00123431523
7,28,0.00866793748
7,26,0.00408018259
7,12,0.0134822907
7,4,0.000223383833
7,2,0.000217526354
7,10,0.00227134842
25,20,0.000199343576
25,7,0.00197296085
25,24,0.00223512366
25,21,0.000177516628
25,6,0.00130770165
25,19,2.74e-05
25,13,2.78e-05
25,17,0.0035476013
25,18,0.00260615287
25,29,2.61e-05
25,23,0.000147150938
25,11,0.0154355692
25,5,0.000378994717
25,8,0.00104730288
25,30,0.0125586582
25,16,0.0101557618
25,15,0.00589276104
25,9,0.0115470402
25,3,0.00401249285
25,22,0.00305207326
25,1,0.000760968013
25,14,0.0154253824
25,27,0.000165929882
25,28,0.00694440273
25,26,0.0176887895
25,12,0.000456057938
25,4,0.0168262388
25,2,0.00306250731
25,10,0.000322945176
24,20,0.0025295035
24,7,0.051024139
24,25,9.61e-06
24,21,0.0100640136
24,6,0.0044433414
24,19,0.00412210287
24,13,0.0315867974
24,17,0.00759928195
24,18,0.0142731129
24,29,0.000574076308
24,23,0.00140739173
24,11,5.76e-05
24,5,0.00204020671
24,8,0.00726695285
24,30,0.000559007522
24,16,0.0107748546
24,15,0.00113707576
24,9,0.0150365624
24,3,0.00179075976
24,22,0.00357478879
24,1,0.0143940058
24,14,0.00538549316
24,27,0.0178248719
24,28,0.00137025256
24,26,0.00322066244
24,12,0.0385363147
24,4,4.6e-05
24,2,0.00178664032
24,10,0.0270734759
21,20,0.00320291194
21,7,0.000320435688
21,25,0.0038455175
21,24,0.00462562005
21,6,0.0107892631
21,19,0.00235594128
21,13,0.00549135706
21,17,0.0111680879
21,18,0.010265829
21,29,0.0255373
21,23,0.00148018298
21,11,0.000383877734
21,5,0.00811962524
21,8,0.032370949
21,30,0.0266625914
21,16,0.0774463679
21,15,0.000911488622
21,9,0.000398273046
21,3,0.00147065395
21,22,0.0129450034
21,1,0.0417330334
21,14,0.00174800324
21,27,0.0206627144
21,28,0.002736401
21,26,0.000192243022
21,12,0.00421438165
21,4,0.00132570573
21,2,0.00196048166
21,10,0.00276322346
6,20,0.0123029743
6,7,0.00476119274
6,25,0.00615056499
6,24,0.00270090162
6,21,0.00295501116
6,19,0.0114951256
6,13,0.0234461735
6,17,0.0191557273
6,18,0.00471778883
6,29,0.0281043852
6,23,2.83e-05
6,11,0.0245885058
6,5,0.0014401353
6,8,0.0184009555
6,30,0.00214041438
6,16,1.13e-05
6,15,0.00430260749
6,9,6.29e-06
6,3,0.00290316696
6,22,0.0195633836
6,1,1.61e-10
6,14,0.0112641705
6,27,0.014306961
6,28,0.000165192989
6,26,0.0265009084
6,12,0.012274464
6,4,0.0107444792
6,2,0.00382556728
6,10,0.00631364032
19,20,0.000551638254
19,7,0.00111444837
19,25,0.0108712372
19,24,0.00377744809
19,21,0.00142088153
19,6,0.000266800096
19,13,0.000960663446
19,17,0.0227803099
19,18,0.0144486094
19,29,0.000990545503
19,23,6.5e-06
19,11,0.000911006197
19,5,0.000282298679
19,8,0.00876263062
19,30,0.01026089
19,16,0.0100556265
19,15,0.00136665392
19,9,0.0103073053
19,3,0.000161144396
19,22,0.000973188081
19,1,0.00679471604
19,14,5.69e-05
19,27,0.00960622811
19,28,0.00530088845
19,26,0.0252205724
19,12,0.000954994584
19,4,0.00288543578
19,2,0.00264988413
19,10,0.000952734752
13,20,4.11e-05
13,7,0.00285169839
13,25,0.00123770989
13,24,0.00446585523
13,21,0.0058508112
13,6,0.00322770465
13,19,0.00653033036
13,17,0.0112620677
13,18,0.017029217
13,29,0.00757555394
13,23,0.00360621764
13,11,0.0193999924
13,5,0.00225018834
13,8,0.00207390139
13,30,0.00279761466
13,16,0.000273160251
13,15,0.0132458721
13,9,0.000201098874
13,3,0.0191032925
13,22,0.000236037281
13,1,0.00365011378
13,14,0.00132711836
13,27,0.000189815163
13,28,0.0124695544
13,26,0.0148958019
13,12,0.00168535713
13,4,0.0206758698
13,2,0.00101936713
13,10,0.00293470117
17,20,0.00326291497
17,7,0.00602920292
17,25,0.00445581294
17,24,0.00216310784
17,21,0.00497849365
17,6,0.000386957248
17,19,0.000534294953
17,13,0.010333076
17,18,3.76e-05
17,29,0.0046560153
17,23,0.00180218077
17,11,0.00875548247
17,5,2.54e-06
17,8,0.000284693188
17,30,0.0108760427
17,16,0.0114233472
17,15,0.000573591161
17,9,0.00132296182
17,3,0.00245956108
17,22,0.0055904535
17,1,5.92e-05
17,14,0.000585290381
17,27,0.000928430838
17,28,0.000523398436
17,26,0.00131805072
17,12,1.62e-05
17,4,0.0286504234
17,2,0.00277577484
17,10,0.00449085012
18,20,0.000344784966
18,7,0.0135215458
18,25,0.0454784609
18,24,0.0103620138
18,21,0.000666672449
18,6,0.00318932769
18,19,0.0366408826
18,13,0.000723984148
18,17,0.00226063222
18,29,0.000348483966
18,23,0.0194613071
18,11,0.000323340233
18,5,0.0108386159
18,8,0.00289438365
18,30,5.6e-07
18,16,0.00546368527
18,15,0.0199450136
18,9,0.000839397805
18,3,3.42e-06
18,22,0.000333476714
18,1,0.0540102148
18,14,0.006975083
18,27,0.00275108285
18,28,0.00612644655
18,26,0.013956349
18,12,0.00646040816
18,4,0.000554319661
18,2,0.0116930228
18,10,0.00539606251
29,20,0.00218279457
29,7,0.00666887073
29,25,0.0196642904
29,24,0.000681403858
29,21,0.0228596921
29,6,0.00760421793
29,19,0.00651462431
29,13,0.0003033105
29,17,0.0111229288
29,18,0.00227001895
29,23,2.46e-05
29,11,0.00785083792
29,5,0.00014721612
29,8,0.00178219771
29,30,0.00122635283
29,16,0.00739494137
29,15,0.00234321881
29,9,0.00585864418
29,3,0.027687478
29,22,0.00655080721
29,1,0.0138097569
29,14,0.00131195277
29,27,0.00083049513
29,28,0.00402647439
29,26,0.00190720012
29,12,0.000451100449
29,4,0.0281792481
29,2,0.000524392625
29,10,1.22e-05
23,20,0.00224303318
23,7,0.00243752595
23,25,0.00600004324
23,24,0.0136173982
23,21,0.00103039807
23,6,0.00164133459
23,19,0.0630395498
23,13,0.000758471685
23,17,0.00283386606
23,18,0.00783243216
23,29,0.0142525444
23,11,0.0549504303
23,5,0.000547013428
23,8,1.35e-05
23,30,0.0128184434
23,16,2.01e-05
23,15,0.000681450554
23,9,0.00370819827
23,3,0.000906968626
23,22,1.38e-07
23,1,0.00262110642
23,14,0.0018716208
23,27,0.000114855346
23,28,0.00229405821
23,26,0.00077401301
23,12,0.000763309328
23,4,0.0128340537
23,2,1.73e-05
23,10,0.0347599081
11,20,0.000166000997
