Row,Ansan,Anseong,Anyang,Bucheon,Dongducheon,Gimpo,Goyang,Gunpo,Guri,Gwacheon,Gwangju,Gwangmyeong,Hanam,Hwaseong,Icheon,Incheon,Namyangju,Osan,Paju,Pocheon,Pyeongtaek,Seongnam,Seoul,Siheung,Suwon,Uijeongbu,Uiwang,Yangju,Yeoju,Yongin
Ansan,NaN,0.000826927215429762,0.00473765231463164,0.00459842963348445,0.00025135402230303,0.0186387572231688,0.0135993387925923,0.00775487730629321,0.0141663592952446,0.0018481716339771,1.06567393380885e-05,0.000124864846785311,0.00517033140326539,0.00302023085722647,0.000143073890773504,0.00600959228217723,0.00737020529315702,0.00792344764723785,0.0085859087806841,5.26429144191987e-05,0.000384162798226395,0.00242546970318491,3.67304493855691e-05,0.00930788279627803,0.0157846799975991,0.000556133827528615,0.0030200832558025,0.00773619446486506,0.00539470219911387,0.000372067372945484
Anseong,0.014918492034826,NaN,0.00830926325232184,0.00102159967350324,0.00211024415883654,0.00582659213503556,0.000152177934779951,0.0183532892775016,0.00310520276850745,0.00321384726104679,0.000523931422550028,0.00020842802476384,0.00141178567800782,0.000530750668211954,0.0275383747422671,6.70803898898953e-05,0.00494852260741818,0.000113344619194988,0.00237397082255342,0.00259352076950803,0.0348746086895553,0.00785386359989459,0.000577207740287911,0.00185629960660783,0.00213301905306018,0.000805535310970384,0.00460896475536066,0.000335815631026914,3.74945807293248e-05,0.00549617180656514
Anyang,0.00252985532951033,0.00107462470764297,NaN,0.00731175907622905,0.000369504965680889,0.00237675197574916,0.00169848027988806,0.0045076722110764,0.0098122823420681,0.0042785978677915,0.000401445775290998,0.00909930084951149,0.00340303228644512,0.000781421686056216,0.00898169468227117,0.0277919474817443,0.0113973984046258,0.000585367481517274,0.0055810944831256,0.00532611205105837,6.18241859324797e-05,0.000917031731780149,0.00068751543395873,0.0204808508083856,0.00989148292948228,0.0168422342479628,0.0171533238483779,0.00344938616937185,7.05632052140359e-05,0.00712744035402002
Bucheon,0.00230085705467187,0.00592326695671108,0.00183142369404909,NaN,0.00413086496491166,0.0024588021347518,0.00030952541303475,0.0217837317776624,0.00647446638330562,0.00649874884765778,0.0156899884807034,0.00315525029267638,0.00326675938317877,0.000945187177065376,0.000779033777019045,0.000514785615899127,0.00377689907537326,0.00484930994118971,0.00224668239235926,0.00014436115930061,0.0110219388490069,0.00224725429555406,0.00153584994366329,7.72017493644306e-06,0.000602799170940083,0.000844243110386556,0.0198736749728103,0.000719132650205623,0.00383109528919579,0.000120841258617999
Dongducheon,0.0142008630843433,0.00279064863645195,0.00740720242416715,0.000197747755858568,NaN,0.0116953201862149,0.000663884418462768,0.00128271517454692,0.00408522112606979,0.00798672242788157,0.00852598668645022,3.94643992538413e-05,0.000172918568616565,0.000337346745735712,0.0150307215011931,0.0197691055885612,0.000156209754419878,0.00626665327847142,0.000221890600815344,0.0216155471164947,0.00190400567496085,0.00667862259422614,0.00105750586234588,0.00162121518514113,8.85833978048201e-05,0.0328929051421258,0.0312651944934459,0.00154649129252538,5.87573657264695e-05,0.00370462651595016
Gimpo,0.00171848924840534,0.000440003605463257,0.00236829325891441,0.000627155012222991,0.00390723297094553,NaN,0.0099600886835961,3.26233984149216e-06,0.00280151313279109,0.000232392243400326,0.020074538732993,0.00058572240958854,0.00127554954625597,1.2344930264474e-05,0.00194740459838549,0.00052382186578126,0.00129750852098165,0.0036801078767259,0.0119370861689049,0.00164922955512481,4.1978351565497e-05,0.000372848177117691,0.000830143952251339,0.00114243073788878,0.000663488763437248,0.015917425414621,0.00565900084390702,0.00487520923447426,0.00180113265968651,0.000643171693051392
Goyang,0.000412758549403369,0.00261859508571893,0.0034519888417206,0.00445706158823289,0.0014029489740004,0.000357657299508762,NaN,0.000731612397183223,0.00644220735949053,0.000646693725326664,0.0114972187490834,0.00444213397557891,0.000418478769421471,0.000391901123383054,0.00307147424815302,0.00785031039138273,1.39726212173841e-05,0.0027904750849066,0.0462591392230229,0.00244503765956638,3.10956969706844e-05,0.00242957094508967,0.00673628399933524,0.0113665983772551,0.000100051688214364,0.0122243900857042,0.00805076972082208,8.4911739369975e-05,0.00226496117832409,0.00378712195580277
Gunpo,0.000706490984317742,0.00197352039367504,0.00152085779388789,4.26644182449643e-06,0.00514656539631875,0.0049053832977759,5.67822909425253e-06,NaN,0.000335658950150863,0.00997597892550162,0.000912970369381094,0.00324647527817135,9.05904785157841e-05,0.00452927012312476,2.19199303486128e-05,0.000602016283741236,0.00363551330012668,0.00708256944044483,0.000995546769915423,0.00310284032513763,0.00117333939800179,0.00554727221435258,0.000318163011443051,0.00752649971583863,0.0272862692944349,0.00613167833016992,4.85053667897972e-06,0.0250278130619341,1.95985652373665e-06,0.00452043728702112
Guri,0.000314382835960192,0.0188297275288367,5.48621616875966e-05,0.0235483311352229,0.00085619596021469,0.00127630806878876,0.00347442338409687,0.0235737866861512,NaN,0.00321881267678736,0.00775636246088807,0.0162231465416038,0.00499874942435463,1.9937153913574e-05,0.00684016185651148,4.24633371087779e-06,0.00862116307325844,0.00065607526420064,0.000119169665767194,0.0039909828001079,0.00041791022417037,0.00175009327200981,0.00333532732740638,0.000738142169242506,0.0220528514083911,0.0131284954877455,0.00168686584144706,0.00533550962175622,0.00115914954057517,0.00165228249794458
Gwacheon,0.000666943165771539,0.000228391939159467,0.00113437881142442,0.000116819343665142,0.00157516561897042,0.00012294801091306,0.00872607970201988,0.000168622421131914,0.0014988489818426,NaN,4.74076519418887e-05,0.00685724254368902,0.00730751099490168,0.0003901483522184,0.00868421516757945,2.56651578123268e-05,9.61710450320119e-06,8.40146530312058e-05,0.00352956285877926,0.000259819472332001,3.69257440167026e-05,0.00323763798199073,0.00748132027162152,0.00125600936388603,0.000673970998200879,0.000124119374052878,0.00297853416764449,0.00336993028364607,3.08224474077079e-06,0.00876912405926911
