Row,Ansan,Anseong,Anyang,Bucheon,Dongducheon,Gimpo,Goyang,Gunpo,Guri,Gwacheon,Gwangju,Gwangmyeong,Hanam,Hwaseong,Icheon,Incheon,Namyangju,Osan,Paju,Pocheon,Pyeongtaek,Seongnam,Seoul,Siheung,Suwon,Uijeongbu,Uiwang,Yangju,Yeoju,Yongin
Ansan,NaN,0.00132482720216398,0.0170399379936059,0.0120042002680418,0.000245692616367865,0.0153203029492333,1.6951802352505e-05,0.00602070661905252,0.0187633419922943,0.000334664249460381,0.00539944231621536,0.00258814570710175,3.04434393201269e-05,0.0299524755511018,0.000751829655618153,0.0131867988327854,0.0136505025912133,0.012998789170092,0.00214228708875863,0.0037543300494538,0.00298551252377299,0.0095971545997795,0.00408997953732859,0.00745558503283217,0.0178547324060299,0.0109022098548293,0.0164503866570351,4.04727474783151e-05,0.00605505626286496,0.00720247159022147
Anseong,0.00238797769209853,NaN,0.026147469134479,0.00212391969329828,0.00171086346100169,0.00449442070959183,0.000848912059263407,0.0180348462168132,0.000703433473010717,0.000944741812702654,0.00968883183756697,0.000559694209599781,0.00249168828184998,0.000165273434179491,0.0173405551201284,0.000771054464545395,0.00271102005515655,1.45032811471602e-06,0.000476612565941448,0.0191161492669221,0.00922763723527198,0.00469859997117039,5.19927885878069e-06,0.00696885954171877,0.00219557265370995,0.000415750370292622,0.00522263852398219,3.50863697429205e-07,0.00460077574612572,0.00347408319055043
Anyang,0.000321092813758028,0.000886366864824684,NaN,0.00957423460611473,0.000797377359571527,0.00102051770017608,0.00112171704021113,0.0158643591559895,0.0159132995629236,0.0193416032848024,0.000504881033722704,0.0230418277818702,9.14138551117993e-05,0.000532283819012047,0.00299912907657252,0.0127888014158253,0.00551337991482903,0.00232729231446571,0.00147231357050348,0.00102074631685012,0.000767017200995479,0.000205701600524133,0.000851649576774527,0.0380546035745453,0.0160930265498296,0.00312783407179085,0.0027711719366712,0.00149983645099505,3.90147298729993e-05,0.00438910936636638
Bucheon,0.00159664161270934,0.00642538311643603,0.00568386381367469,NaN,0.0176853291064947,0.00103239429887436,0.00375700899747455,0.0004491314298396,0.0013402683029633,0.00525962475116959,0.0371815584347779,0.0022704075813027,0.0125162172313993,0.00902194999826866,0.0041092958323472,0.00399588301104981,0.00291860268403665,0.0271638224829798,0.000127559391642329,0.000522417186934021,0.0251833864909048,0.000160599906048109,0.000460310862582247,0.00734284299069721,0.000227180772968794,0.000275306746542192,0.000711788828841264,6.51282504837702e-05,0.0198079242941582,0.00760658012403992
Dongducheon,0.00870679958059539,0.00286507948653991,0.000364142293178382,0.00268031395617219,NaN,0.00529849951085581,0.000803367373950259,4.07239309720975e-05,0.000923042498722548,0.00167408331213581,0.00138603797702141,0.000111300516563606,0.00495922354484968,0.00232946516911392,0.00928958559576976,0.00222062754988706,0.0146278643133813,0.0171153471740586,2.69643823784804e-05,0.00873244230362591,0.0103664147289042,0.0027768908612944,2.29218226222017e-06,0.000461097681964118,0.000625144728041649,0.0207013101786107,0.0123240379166036,0.000344219958992031,1.14565798119415e-05,0.00577374734075775
Gimpo,0.003307859389858,0.00039009976550175,0.000420871698180725,4.15067082215614e-06,0.000563577481663025,NaN,0.00107034562216612,0.00791449371900554,0.0119800909732148,0.00182726262288202,0.00190879688040668,0.000200490953372379,0.000458134717431835,0.00172580760187679,7.3814929886562e-05,0.00447979873641846,0.000195557230499244,0.0154942001139747,0.0144892861343967,0.00150831797653395,0.000408971884151677,0.00107398741915865,0.000878389192399909,0.000113751703945009,0.000942176157551655,0.00241018615074928,0.000667153864900349,0.00242050068268529,0.00012798411039816,0.0076667387552104
Goyang,0.0112677693364911,0.00135957510773599,4.66246280814708e-05,0.00980153094462244,0.0191535811623567,0.0054885074794262,NaN,0.00373071367518385,0.00538037954642157,0.0139829587018854,0.0130009447578892,0.0059207982966023,0.00586753189997591,4.55244043298109e-05,0.0218643956800095,0.0182596436885847,0.00529679116932735,0.00151681452362773,0.0725933508249854,0.000493520149623006,0.0114521906066112,2.45913368557282e-06,0.00348845465404679,0.0114974050875469,0.00161909148012951,0.000994982617847917,0.000739225989568215,0.000745541253974746,0.00127930533415554,0.0154533611525149
Gunpo,0.00198662307371178,0.000592801446206881,0.00021538183810943,0.00144528293282331,0.00640420418627352,0.00229650888944777,0.000207289331044525,NaN,0.00123426544244198,0.000198639009419299,0.00289990681493135,0.0412920606066161,0.00255951506823493,0.00717026412704058,0.000388035910953821,0.0136267314265637,0.000799224779838958,0.00663356726158382,5.59508942061804e-05,0.00172829487207116,0.00158437325151795,0.000631621804537907,0.00260305838578345,0.00164337037955065,0.0854598470546697,0.00387909448956636,0.0123030931847614,0.0183686280961894,5.66671469970359e-05,0.0041615872191727
Guri,0.002156442037198,0.0144831328288588,0.000556888454236182,0.0325219450091427,0.000395122342574883,0.00508655152189985,0.00225869669507417,0.00679019337969966,NaN,0.00537277660337399,0.00490981838255089,0.02931858834417,0.000804973876155968,0.000312390340174939,0.00629144742619392,0.000346939999650742,0.011267651028096,3.00036515377133e-05,8.57100810325306e-08,0.0040712474350133,0.0126684669488466,0.000894342868084541,5.57547265687131e-05,0.00712724419337718,0.0255654825941041,0.0201898425768752,0.000437870317227196,0.00465047296766286,0.00246655916440641,1.42715863993281e-06
Gwacheon,0.00197428395157817,0.000126366234773467,0.0174850901731423,0.0064013404615284,0.0119186674914344,0.00188169277679706,0.00108589741464549,0.000949663127809197,5.71067196353248e-06,NaN,0.00389948383754501,0.0475127822969814,0.0164204816755,0.00157487352725916,0.00667977704426082,0.00601909700441938,0.0113195106439108,0.000199756058801404,0.00226695410237721,0.000352625155052522,0.00214937327467735,8.49476756037415e-05,0.00777495168356679,0.000101104229561777,0.022674991090595,0.00744477251093101,0.00231861115773691,0.00745759432400717,0.000349788007178109,0.0566668351315216
